Date Accepted,Player,Team,Category,Time,Points
2021-10-01,bluehavengaming,bluehavengaming,16,00:19:48,80
2021-10-01,falconxfalcon,alaris,120,01:53:13,3655
2021-10-02,seiozi,tabascoth,70,00:55:58,203
2021-10-02,kulty,benji64,16,00:17:50,518
2021-10-02,dentoriousred,raccoonbilly,70,01:05:49,502
2021-10-02,gunblade2337,alaris,70,00:58:55,216
2021-10-02,gunblade2337,alaris,120,02:11:03,242
2021-10-02,zans,fcbdaboss,120,02:27:11,169
2021-10-02,bootycheekman,bootycheekman,70,00:58:03,1332
2021-10-02,saksdal,tabascoth,16,00:16:14,840
2021-10-02,tracers_husband,bluehavengaming,16,00:16:39,385
2021-10-02,kywil,ringo792,70,01:09:24,72
2021-10-02,fr3akzii,horrordoesspeedruns,16,00:18:37,168
2021-10-02,xoofey,xoofey,16,00:16:14,728
2021-10-02,nicv,chipgroove,70,00:51:53,154
2021-10-02,raccoonbilly,raccoonbilly,120,02:03:36,867
2021-10-02,xein64,drogie,70,00:48:57,459
2021-10-03,heyzeus,fcbdaboss,70,00:53:47,402
2021-10-03,mrkerij,horrordoesspeedruns,120,02:18:56,350
2021-10-03,seiozi,tabascoth,70,00:55:19,273
2021-10-03,awning_guy,benji64,120,02:26:04,236
2021-10-03,thegoodjakeward,chipgroove,70,01:04:16,214
2021-10-03,raccoonbilly,raccoonbilly,120,01:59:56,444
2021-10-03,ringo792,ringo792,16,00:17:21,2229
2021-10-03,amahumahaba,mrspeedrun,120,02:15:56,370
2021-10-03,nickless,badroenis,120,02:00:11,1504
2021-10-03,nickless,badroenis,120,02:02:24,0
2021-10-03,geenix,mrspeedrun,120,01:58:46,207
2021-10-03,gunblade2337,alaris,70,00:58:28,108
2021-10-03,zeussm64,rubiksmeth,16,00:16:27,56
2021-10-03,bluehavengaming,bluehavengaming,16,00:19:39,72
2021-10-03,dentoriousred,raccoonbilly,70,01:05:32,34
2021-10-03,kally,tabascoth,70,00:48:57,216
2021-10-03,lxqzach,rubiksmeth,16,00:15:58,0
2021-10-03,itoxicnuk,fcbdaboss,70,01:06:59,142
2021-10-03,falconxfalcon,alaris,16,00:16:36,903
