Team,Initial 0 Star PB,Final 0 Star PB,Initial 1 Star PB,Final 1 Star PB,Points
toilet64_,03:00:00,00:11:10,00:09:37,00:09:37,2000
808sandbailey,03:00:00,00:39:28,03:00:00,00:09:57,2524
thomkar,03:00:00,00:08:07,03:00:00,00:08:17,6200
fazerlazer80,03:00:00,00:24:41,03:00:00,00:08:13,4672
fazerlazer80,03:00:00,03:00:00,00:09:30,00:10:05,500
zeussm64,03:00:00,00:07:45,00:09:06,00:08:05,7654
thomkar,03:00:00,03:00:00,03:00:00,00:14:53,500
fazerlazer80,03:00:00,03:00:00,03:00:00,00:49:20,500
frostyseason,03:00:00,00:11:49,03:00:00,00:08:33,3825
cjrokokomero,03:00:00,00:57:39,00:09:12,00:08:38,3158
zeussm64,03:00:00,03:00:00,03:00:00,03:00:00,0
cosmalano,03:00:00,03:00:00,00:08:40,00:08:40,0
cosmalano,00:08:23,00:08:11,00:08:40,00:08:25,3499
cjrokokomero,03:00:00,03:00:00,03:00:00,00:07:44,4912
cjrokokomero,00:06:37,00:06:37,00:07:25,00:07:14,3265
cosmalano,00:07:55,00:07:55,00:08:37,00:08:37,0
fazerlazer80,00:11:48,00:11:23,00:09:14,00:08:39,3151
fazerlazer80,03:00:00,03:00:00,00:09:13,00:08:13,2672
cosmalano,03:00:00,00:11:36,03:00:00,00:08:26,4070
cjrokokomero,03:00:00,00:08:14,00:07:57,00:07:57,3444
fazerlazer80,00:09:35,00:09:35,00:08:35,00:08:35,0
cjrokokomero,03:00:00,03:00:00,03:00:00,00:08:17,2448
808sandbailey,03:00:00,03:00:00,03:00:00,00:46:17,500
frostyseason,00:13:33,00:08:32,00:09:05,00:09:04,3382
808sandbailey,00:11:09,00:11:09,00:09:04,00:09:04,0
thomkar,00:09:11,00:09:11,00:08:33,00:08:33,0
fazerlazer80,01:00:37,00:15:27,00:09:10,00:09:05,2570
toilet64_,00:08:31,00:08:31,00:08:32,00:08:32,0
toilet64_,03:00:00,03:00:00,00:09:18,00:08:20,1872
cjrokokomero,03:00:00,03:00:00,03:00:00,03:00:00,0
808sandbailey,03:00:00,03:00:00,00:13:09,00:12:22,500
frostyseason,00:20:29,00:14:39,00:09:00,00:08:47,2773
cjrokokomero,00:09:50,00:08:11,00:07:56,00:07:43,5371
zeussm64,03:00:00,00:15:18,00:08:25,00:08:07,3403
toilet64_,03:00:00,00:07:28,00:07:53,00:07:52,7419
frostyseason,03:00:00,03:00:00,03:00:00,03:00:03,500
toilet64_,03:00:00,03:00:00,00:08:59,00:08:30,1249
frostyseason,03:00:00,03:00:00,03:00:00,00:07:37,5941
cosmalano,03:00:00,00:14:51,00:09:08,00:09:08,2000
zeussm64,00:07:46,00:07:46,00:08:45,00:08:45,0
zeussm64,03:00:00,03:00:00,00:09:51,00:08:40,1508
thomkar,00:13:46,00:13:46,00:09:02,00:09:02,0
cjrokokomero,03:00:00,01:01:34,03:00:00,00:08:49,3391
toilet64_,00:06:44,00:06:44,00:07:31,00:07:24,2075
808sandbailey,00:08:38,00:08:38,00:08:58,00:08:58,0
zeussm64,03:00:00,01:49:05,00:08:02,00:08:02,2000
808sandbailey,03:00:00,03:00:00,00:08:30,00:08:17,1018
thomkar,00:08:30,00:07:35,00:08:18,00:07:57,6891
cosmalano,00:07:53,00:07:35,00:08:56,00:08:36,4456
thomkar,00:39:43,00:18:21,00:08:00,00:08:00,2000
fazerlazer80,00:08:09,00:08:09,00:09:00,00:09:00,0
zeussm64,00:07:41,00:07:41,00:08:22,00:07:55,2145
808sandbailey,03:00:00,00:25:08,03:00:00,00:09:20,2880
thomkar,03:00:00,00:49:29,00:09:12,00:08:29,3473
frostyseason,03:00:00,03:00:00,03:00:00,00:16:07,500
thomkar,00:07:08,00:07:08,00:07:31,00:07:31,0
toilet64_,00:08:53,00:08:53,00:08:23,00:08:23,0
808sandbailey,03:00:00,00:09:01,03:00:00,00:08:14,4906
cosmalano,00:06:56,00:06:54,03:00:00,03:00:00,2481
cosmalano,03:00:00,00:11:36,00:09:16,00:08:46,3018
frostyseason,03:00:00,03:00:00,03:00:00,03:00:00,0
frostyseason,00:06:59,00:06:50,00:07:31,00:07:31,4673
toilet64_,03:00:00,00:26:00,00:08:34,00:08:34,2000
zeussm64,03:00:00,00:15:48,00:07:52,00:07:52,2000
