Date Accepted,Player,Team,Category,Time,Points
2022-03-04,yudalol,toilet64_,1,00:09:30,500
2022-03-04,vonjim,808sandbailey,1,00:08:51,1349
2022-03-04,nils147,frostyseason,1,00:08:03,3232
2022-03-05,moose,toilet64_,0,00:08:12,3532
2022-03-05,finl,cjrokokomero,1,00:08:17,2448
2022-03-05,alaris,thomkar,1,00:09:42,644
2022-03-05,gregothegreatest,fazerlazer80,1,00:09:05,570
2022-03-05,thags15,thomkar,1,00:08:47,941
2022-03-05,808sandbailey,808sandbailey,1,00:14:48,500
2022-03-05,rosheeki,808sandbailey,1,00:08:17,1018
2022-03-05,bizzarescape,frostyseason,1,00:08:51,1349
2022-03-06,drimys,fazerlazer80,1,00:08:50,892
2022-03-06,drimys,fazerlazer80,1,00:08:50,0
2022-03-06,alaris,thomkar,1,00:08:37,1041
2022-03-06,saksdal,thomkar,0,00:07:58,3280
2022-03-06,bombs,cjrokokomero,1,00:08:55,773
2022-03-06,vonjim,808sandbailey,1,00:08:35,406
2022-03-06,thags15,thomkar,1,00:08:29,532
2022-03-06,n8rbeans,toilet64_,1,00:08:55,584
2022-03-06,lxqzach,zeussm64,1,00:08:20,675
2022-03-06,moose,toilet64_,0,00:07:40,1928
2022-03-06,druz,cosmalano,1,00:12:01,500
2022-03-06,dophthalo,fazerlazer80,1,00:08:53,843
2022-03-06,vonjim,808sandbailey,1,00:08:23,420
2022-03-06,frostyseason,frostyseason,0,00:12:40,2000
2022-03-06,saschasr,cosmalano,1,00:08:54,542
2022-03-06,bombs,cjrokokomero,1,00:08:38,385
2022-03-06,bombs,cjrokokomero,0,00:57:39,2000
2022-03-07,vonjim,808sandbailey,0,00:59:04,2000
2022-03-07,hide,toilet64_,1,00:08:20,1872
2022-03-07,dophthalo,fazerlazer80,0,00:11:23,2000
2022-03-07,zeussm64,zeussm64,0,00:15:48,2000
2022-03-07,druz,cosmalano,1,00:09:21,366
2022-03-07,taki,808sandbailey,0,00:25:08,2000
2022-03-07,taki,808sandbailey,1,00:09:20,880
2022-03-07,thags15,thomkar,0,00:49:29,2000
2022-03-07,moose,toilet64_,1,00:07:52,591
2022-03-07,frostyseason,frostyseason,1,00:09:04,514
2022-03-07,frostyseason,frostyseason,0,00:08:32,868
2022-03-07,wara,cosmalano,0,00:06:55,2297
2022-03-08,jake98,808sandbailey,1,00:12:22,500
2022-03-08,waterbird165,cosmalano,1,00:08:46,1018
2022-03-08,waterbird165,cosmalano,0,00:11:36,2000
2022-03-08,kablaminator,frostyseason,1,00:08:47,773
2022-03-08,thegoodjakeward,frostyseason,1,00:16:07,500
2022-03-08,caleb2112,cosmalano,1,00:08:25,1025
2022-03-08,aussieadam,zeussm64,0,00:08:48,2516
2022-03-08,druz,cosmalano,1,00:08:43,651
